Date,XEM,EOS,XMR,DOT,USDC,UNI,BNB,MIOTA,AAVE,SOL,BTC,ADA,USDT,ATOM,LINK,LTC,XRP,ETH,TRX,XLM,CRO,DOGE,WBTC
2020-11-26 23:59:59,0.1588722,2.94096747,119.35115872,4.80457692,1.00023493,3.43149857,28.20491606,0.30353637,63.99345248,1.90303693,17150.62357809,0.13828125,1.00203454,5.32897524,12.57536258,70.86572109,0.53301892,518.80117389,0.02938731,0.16754814,0.06370475,0.00324982,17123.87418362
2020-11-27 23:59:59,0.17301424,2.87136607,117.3132112,4.78279012,1.00076925,3.31672524,28.47518678,0.31271637,60.73871861,1.85794881,17108.40172774,0.14102816,1.00119989,5.35995333,12.49025874,69.12387404,0.55926763,517.49368769,0.02936294,0.20640935,0.06425499,0.00327521,17060.38877575
2020-11-28 23:59:59,0.18063152,2.99910621,122.00398249,4.90047564,1.00004266,3.46967137,29.14391133,0.33834941,63.94728703,1.88893452,17717.4150112,0.16479091,1.00100063,5.43474024,13.07834626,72.69296617,0.62562208,538.22980058,0.03043469,0.20020316,0.06520899,0.00340487,17734.59088211
2020-11-29 23:59:59,0.17796974,3.03292742,123.99252222,5.19035218,1.00007259,3.55205527,30.11760417,0.34289553,68.85312443,1.9151547,18177.48341979,0.16663903,1.00088981,5.42522156,13.37291837,79.23506852,0.60624629,575.75804789,0.03069862,0.19422412,0.06617921,0.00344778,18167.77554048
2020-11-30 23:59:59,0.18886184,3.25918455,129.7142671,5.37643011,1.00019227,3.76907441,31.39278584,0.35147586,76.41953515,1.96689116,19625.83502949,0.17130821,1.00037696,5.55477948,14.2256385,87.57463257,0.6643373,614.84252202,0.03232013,0.20209288,0.07023793,0.00355089,19619.04234746
2020-12-01 23:59:59,0.19034081,2.99536264,125.92882905,5.09356673,1.00022674,3.55541263,30.10830281,0.32695498,74.86836458,1.97630826,18802.99829969,0.15598286,1.00132273,5.26928455,13.38953504,85.43576677,0.61292341,587.32418713,0.03027735,0.18442527,0.06557685,0.0033347,18828.37847085
2020-12-02 23:59:59,0.20024939,3.05911332,127.89871786,5.46415704,1.00005216,3.93694029,30.29736127,0.34476766,86.32324982,2.11540134,19201.09115697,0.15855732,1.00067079,5.49968424,13.98736604,88.85651249,0.62989304,598.35234223,0.0311959,0.18515054,0.06677152,0.00337436,19214.0018119
2020-12-03 23:59:59,0.21879706,3.08292059,133.01735546,5.41036865,0.99998822,3.89198201,30.70443037,0.3484658,91.67564477,2.10037052,19445.39847988,0.16421198,1.00083972,5.50393328,13.97472094,89.09896529,0.63148285,616.70875486,0.03164091,0.18430375,0.06628898,0.00342761,19460.82338178
2020-12-04 23:59:59,0.24223557,2.856019,127.01794755,5.03271351,1.00005416,3.52813216,29.07220783,0.32255162,81.6418197,1.85595318,18699.76561337,0.14824113,1.00023672,5.07277271,12.74124547,80.01707227,0.55726194,569.35419749,0.02955283,0.16285452,0.06290657,0.00329811,18665.34367697
2020-12-05 23:59:59,0.26045784,3.01112904,133.36055133,5.18890299,1.00002447,3.68167397,29.72948849,0.34165679,91.92059987,1.9787738,19154.231131,0.15966784,1.00054453,5.25766705,13.17303755,83.11872986,0.58442082,596.59547474,0.03057224,0.17171817,0.06421959,0.00339687,19150.38190107
2020-12-06 23:59:59,0.24895734,2.99616017,134.65055896,5.135868,1.00026969,3.6531076,29.54080394,0.33832391,87.95642649,1.85424895,19345.12095871,0.15886675,1.00120332,5.20797196,13.49239685,83.55533607,0.61985104,601.90899244,0.03092528,0.17563025,0.06380282,0.0033884,19383.04444957
2020-12-07 23:59:59,0.23637867,2.95173985,138.92463662,5.06032011,1.00000792,3.7645407,29.37813565,0.3187174,90.9602979,1.83117262,19191.63128698,0.15413038,1.0005709,5.09583909,13.08094922,83.62405876,0.60893445,591.84337934,0.03031663,0.16845983,0.06418363,0.00334233,19176.62745595
2020-12-08 23:59:59,0.22218421,2.79838306,135.71199524,4.73334726,1.00010151,3.28498568,27.6363057,0.29953597,79.94619074,1.66535169,18321.14491611,0.14092839,0.99970572,4.73381583,12.14571383,76.7486542,0.55883618,554.82775708,0.02784883,0.15280335,0.06042585,0.00317934,18327.36819814
2020-12-09 23:59:59,0.21735993,2.80964905,132.62823141,4.8618969,1.00078874,3.35541723,28.1293041,0.30925217,82.11372218,1.6623035,18553.91537685,0.14816498,1.00038358,4.80536594,12.63338955,77.41098045,0.58358953,573.47911163,0.02870998,0.1722235,0.06038615,0.00315811,18531.14730714
2020-12-10 23:59:59,0.21751717,2.74267714,133.89603063,4.7975962,1.00004617,3.24360991,27.69619012,0.28477956,76.64575648,1.57415052,18264.99210672,0.1419943,1.0002533,4.65964542,11.92219945,74.82955647,0.57295396,559.67850106,0.02814575,0.16110208,0.05918139,0.0031046,18250.66104503
2020-12-11 23:59:59,0.20526366,2.69438172,141.55613272,4.62105182,0.99999298,2.97210942,27.36100351,0.27455034,74.72982934,1.44458505,18058.90334725,0.13944898,1.00045818,4.71015145,11.66010599,72.08733437,0.54648324,545.79734103,0.02781859,0.15117957,0.05857354,0.0030788,18054.93479045
2020-12-12 23:59:59,0.26076981,2.76818051,146.72313158,4.74045424,1.00000147,3.12253386,28.16445065,0.29012169,77.55488043,1.4909121,18803.65687045,0.1444598,1.00046356,5.06927023,12.20915682,76.70689387,0.50640055,568.56731778,0.02857237,0.15894956,0.0593884,0.00316309,18781.90635904
2020-12-13 23:59:59,0.25272956,2.8480791,151.90993044,4.89121198,0.99988768,3.33782159,29.10169187,0.30054549,83.42745942,1.56545586,19142.3825335,0.1539642,0.99995156,5.18953431,12.93370322,82.00063841,0.51146366,589.6632225,0.02918404,0.17485158,0.06057862,0.00325587,19163.82278105
2020-12-14 23:59:59,0.24775287,2.84259267,152.68317311,4.89808222,0.99997186,3.48526339,30.02957848,0.30174479,86.14011813,1.5916455,19246.64434137,0.15799236,0.99993174,5.22381631,12.8275533,82.36316054,0.49771204,586.01115197,0.02908806,0.16976176,0.06073782,0.00323079,19278.18265269
2020-12-15 23:59:59,0.24643697,2.86449956,150.99568458,5.24960699,1.00023197,3.33150942,29.54728368,0.30424674,87.25809436,1.76067126,19417.07603342,0.15430501,1.00091748,5.29839473,12.70547128,81.40067395,0.46971013,589.35560245,0.02920635,0.16655667,0.06164546,0.00320577,19428.90591295
2020-12-16 23:59:59,0.2562775,3.09792153,158.70458683,5.35931366,0.99986571,3.52855053,30.49019426,0.32755847,87.23005839,1.78359783,21310.59813054,0.1675889,0.99997851,5.47783087,13.45108729,92.78968506,0.56862765,636.18184867,0.03117615,0.19140137,0.0648734,0.00341629,21367.41244952
2020-12-17 23:59:59,0.2795408,3.04011887,160.22095648,5.34396751,0.99982921,3.69151096,30.1841335,0.31989433,85.08382773,1.67863414,22805.16149213,0.16348263,0.99983786,5.35990716,13.46713281,100.95957532,0.57667682,642.86896702,0.03070782,0.18593514,0.06645466,0.0037298,22818.60992489
2020-12-18 23:59:59,0.30313356,3.06255313,154.8211261,5.36764091,0.99989666,3.76731462,30.93835975,0.32394368,89.77007385,1.69879993,23137.96056165,0.16498817,1.00086776,5.33006117,13.51119276,109.3845096,0.58428027,654.81192689,0.03111274,0.18512687,0.06479469,0.00385822,23146.71864309
2020-12-19 23:59:59,0.29822542,3.05923953,155.01753573,5.33894511,0.99996038,3.96389255,33.2963554,0.34045304,89.01304208,1.66865052,23869.83196434,0.16471358,1.00049866,5.29267862,13.4921871,120.5589091,0.57916277,659.29792646,0.03129003,0.18183732,0.06594018,0.00392675,23874.19523847
2020-12-20 23:59:59,0.28920903,3.13501251,152.50001564,5.18847554,0.99989335,3.76568859,34.16029635,0.32376562,85.96947236,1.56357617,23477.29519711,0.16198846,0.99964298,5.02579253,13.07007395,114.66599272,0.55605754,638.29084637,0.03122526,0.17697873,0.0660512,0.00462466,23471.9975396
2020-12-21 23:59:59,0.27682967,2.9431831,146.27159146,4.89054553,0.99986641,3.52324575,32.26952771,0.3059814,81.31193717,1.5419152,22803.0814087,0.15265616,0.99982731,5.04294578,12.34199503,105.00539486,0.5169435,609.81787165,0.02938003,0.16635673,0.05938767,0.00478746,22744.4645221
2020-12-22 23:59:59,0.27741653,2.8989094,156.17311962,5.15482991,0.99997065,3.73061416,33.48294761,0.3075061,84.10955202,1.49028596,23783.02850288,0.15617921,0.99964118,4.95038697,12.79393324,113.6803674,0.44844794,634.85419947,0.02889393,0.16218486,0.06093395,0.00450782,23820.51040882
2020-12-23 23:59:59,0.23339129,2.30488706,150.89761698,4.71061346,0.9999387,3.31396994,31.09789872,0.26544118,75.21556665,1.20569231,23241.34486501,0.13639415,0.99942591,4.37769826,10.8313119,101.81706223,0.25860161,583.71459689,0.02481996,0.12647102,0.05543779,0.00376766,23229.81724171
2020-12-24 23:59:59,0.25671565,2.67170175,156.75629387,5.12882058,1.00007413,3.52143239,32.50059333,0.29367871,80.25657151,1.3624084,23735.94972763,0.15288347,0.99993145,4.94901222,11.57545407,111.56539901,0.33781854,611.60718693,0.02769736,0.15962023,0.05799089,0.00457046,23737.31321472
2020-12-25 23:59:59,0.24394368,2.66060685,159.26890013,5.21421049,1.00019009,3.50369878,33.16497423,0.29149851,79.79518007,1.44540315,24664.79027412,0.15756379,1.00016775,4.91484499,11.54668492,126.98359867,0.31809054,626.41070163,0.02849727,0.15258738,0.0580128,0.00458201,24652.14594374
2020-12-26 23:59:59,0.23652844,2.60622839,167.93965469,5.18218102,0.9997332,3.40696394,33.4771392,0.28550499,74.868333,1.3242381,26437.0375091,0.15782374,0.99848059,4.78878714,10.96487443,129.45920297,0.29471348,635.83583086,0.02773811,0.14704709,0.05922363,0.00449367,26409.52998928
2020-12-27 23:59:59,0.23590601,2.71469776,157.25826968,5.13619073,1.0000788,3.59463998,33.51184727,0.29806357,76.96798485,1.30304194,26272.29456706,0.15442203,0.99885416,4.8271093,12.12970835,127.51696969,0.28303931,682.6423591,0.02884619,0.14497284,0.05687263,0.00454771,26237.58260542
2020-12-28 23:59:59,0.23078467,2.7640702,166.48708005,6.5888218,1.00010058,3.72836028,35.8445565,0.30558642,81.88362359,1.5156849,27084.80788628,0.17673459,0.99860308,5.35629858,12.62838055,130.05033199,0.24795823,730.39736483,0.02953235,0.14437471,0.05930218,0.00459177,27025.55608623
2020-12-29 23:59:59,0.22319104,2.64192892,161.39322197,7.51925703,0.99997809,3.6708054,38.95283333,0.30228606,77.90199883,1.67434488,27362.4365573,0.19216412,0.99858998,5.62725399,11.77112461,129.04079724,0.22096201,731.52011874,0.02768961,0.1388149,0.05803683,0.00448647,27191.39437087
2020-12-30 23:59:59,0.19286868,2.60992265,159.37249905,7.25430008,1.00001065,4.14055831,38.13629984,0.29549851,80.88830364,1.53545722,28840.95341968,0.18403984,1.00027547,5.43616156,11.25357548,129.46607253,0.2118282,751.61897194,0.02694542,0.13191266,0.05892902,0.00463551,28788.81370493
2020-12-31 23:59:59,0.2045231,2.59797698,156.57230606,9.29250771,0.99980675,5.16833732,37.37603315,0.29689304,87.5274822,1.51089796,29001.71982218,0.18139706,1.00059753,6.49320336,11.27053796,124.69032593,0.21984557,737.80339769,0.02683307,0.12836955,0.05852504,0.00468225,28977.74411974
