Date,BTC,WBTC
2020-02-18 23:59:59,10141.9963705,10155.4233781
2020-02-19 23:59:59,9633.38688518,9588.25670864
2020-02-20 23:59:59,9608.47590343,9605.63186005
2020-02-21 23:59:59,9686.44119763,9725.14965609
2020-02-22 23:59:59,9663.18182933,9696.13439194
2020-02-23 23:59:59,9924.51522822,9969.92241028
2020-02-24 23:59:59,9650.17480677,9726.1417142
2020-02-25 23:59:59,9341.70516876,9254.98773435
2020-02-26 23:59:59,8820.52220005,8802.85317911
2020-02-27 23:59:59,8784.49384867,8792.71204722
2020-02-28 23:59:59,8672.45534996,8694.62260371
2020-02-29 23:59:59,8599.50861972,8562.34880142
2020-03-01 23:59:59,8562.45405008,8573.79865388
2020-03-02 23:59:59,8869.67031078,8926.31326334
2020-03-03 23:59:59,8787.78645576,8809.05813453
2020-03-04 23:59:59,8755.24589461,8731.42658381
2020-03-05 23:59:59,9078.76279174,9121.27777779
2020-03-06 23:59:59,9122.54557333,9108.23498451
2020-03-07 23:59:59,8909.9536515,8887.20363315
2020-03-08 23:59:59,8108.11629101,8154.0082727
2020-03-09 23:59:59,7923.6447033,7989.29834285
2020-03-10 23:59:59,7909.72939346,7919.60714312
2020-03-11 23:59:59,7911.43012933,7996.48614223
2020-03-12 23:59:59,4970.78790105,4946.04303071
2020-03-13 23:59:59,5563.70689169,5599.32665441
2020-03-14 23:59:59,5200.36626392,5211.328733
2020-03-15 23:59:59,5392.31488002,5418.4112158
2020-03-16 23:59:59,5014.47997748,5037.25391988
2020-03-17 23:59:59,5225.62919259,5191.04123325
2020-03-18 23:59:59,5238.43857664,5331.24038324
2020-03-19 23:59:59,6191.19295222,6197.00590954
2020-03-20 23:59:59,6198.77820508,6240.13220914
2020-03-21 23:59:59,6185.06651501,6208.29986722
2020-03-22 23:59:59,5830.25479765,5849.9281759
2020-03-23 23:59:59,6416.31475839,6495.33427074
2020-03-24 23:59:59,6734.80378045,6737.18048877
2020-03-25 23:59:59,6681.06312656,6713.25106807
2020-03-26 23:59:59,6716.44054866,6786.98237782
2020-03-27 23:59:59,6469.79813509,6494.30295465
2020-03-28 23:59:59,6242.1938684,6278.90135995
2020-03-29 23:59:59,5922.0431227,5943.34261245
2020-03-30 23:59:59,6429.84193389,6418.59428539
2020-03-31 23:59:59,6438.64476637,6483.63810104
2020-04-01 23:59:59,6606.77626829,6614.35184353
2020-04-02 23:59:59,6793.62459642,6850.59702132
2020-04-03 23:59:59,6733.3873906,6829.44020598
2020-04-04 23:59:59,6867.52731596,6899.43232471
2020-04-05 23:59:59,6791.12944093,6832.92509722
2020-04-06 23:59:59,7271.7811527,7385.22739381
2020-04-07 23:59:59,7176.41450049,7197.57779047
2020-04-08 23:59:59,7334.09845346,7395.73562302
2020-04-09 23:59:59,7302.0895105,7286.01852361
2020-04-10 23:59:59,6865.49337195,6903.74407996
2020-04-11 23:59:59,6859.08296343,6885.65786204
